roaster,loc_country,n_coffees,avg_flavour,avg_rating,avg_price
Argyle Coffee Roasters,United States,2,0.75,92.5,5.29
Stereo Coffee Roasters,Canada,2,0.7250000000000001,94,5.265000000000001
Manzanita Roasting Company,United States,2,0.725,92.5,5.145
Tico Coffee Roasters,United States,2,0.725,92,5.88
Cafe Virtuoso,United States,3,0.7166666666666667,94,9.6
BeanFruit Coffee Co.,United States,3,0.7,93.66666666666667,4.8
Origin Coffee Roasters,Hawai'i,6,0.7,93.33333333333333,11.955
"Good Chance Biotechnology, Ltd.",Taiwan,4,0.7,93.25,90.83
Atomic Coffee Roasters,United States,2,0.7,93,5.29
Bargain Cafe,Taiwan,3,0.7,92,5.95
