first_name,gender,song,release_year,pre_release,post_release,impact_ratio
Tevin,M,Round And Round,1990,0,6821,6821
Sade,F,Smooth Operator,1985,0,3674,3674
Sade,F,The Sweetest Taboo,1985,0,3674,3674
Sade,F,Your Love Is King,1985,0,3674,3674
Rihanna,F,If It's Lovin' That You Want,2005,0,3601,3601
Rihanna,F,Pon de Replay,2005,0,3601,3601
Jaheim,M,Could It Be,2001,0,2251,2251
Jaheim,M,Just In Case,2001,0,2251,2251
Jaheim,M,Could It Be,2000,0,2097,2097
Zhane,F,Hey Mr. D.J.,1993,0,906,906
Santana,F,The Sensitive Kind,1981,0,886,886
Santana,F,Winning,1981,0,886,886
Kanye,M,Through The Wire,2003,0,782,782
Tavares,M,She's Gone,1974,0,672,672
Tavares,M,That's The Sound That Lonely Makes,1974,0,672,672
Tavares,M,Too Late,1974,0,672,672
Erykah,F,On & On,1997,0,662,662
Martika,F,I Feel The Earth Move,1989,0,650,650
Martika,F,More Than You Know,1989,0,650,650
Martika,F,Toy Soldiers,1989,0,650,650
Martika,F,More Than You Know,1988,0,632,632
Colbie,F,Bubbly,2008,0,615,615
Colbie,F,Dreams Collide,2008,0,615,615
Colbie,F,Realize,2008,0,615,615
Colbie,F,Something Special,2008,0,615,615
Tavares,M,Check It Out,1973,0,567,567
Memphis,M,Is That Your Chick,2001,0,549,549
Santana,F,You Know That I Love You,1980,0,540,540
Cherelle,F,I Didn't Mean To Turn You On,1984,0,509,509
Colbie,F,Bubbly,2007,0,508,508
Colbie,F,Mistletoe,2007,0,508,508
Alanis,F,Ironic,1996,0,506,506
Alanis,F,You Learn/You Oughta Know,1996,0,506,506
Kelis,F,Caught Out There,2000,0,428,428
Memphis,M,Is That Your Chick,2000,0,398,398
Amerie,F,Talkin' To Me,2002,0,376,376
Amerie,F,Why Don't We Fall In Love,2002,0,376,376
Shyheim,M,On And On,1994,0,372,372
Taja,F,Love Is Contagious,1987,0,370,370
Stevie,F,Send One Your Love,1979,0,365,365
Tesla,F,Love Song,1989,0,342,342
Kelis,F,Caught Out There,1999,0,321,321
Jeremih,M,Birthday Sex,2009,0,282,282
Jeremih,M,Imma Star (Everywhere We Are),2009,0,282,282
Tierra,F,Together,1980,5,1498,248.83333333333334
Jessi,F,I'm Not Lisa,1975,0,241,241
Jessi,F,What's Happened To Blue Eyes/You Ain't Never Been Loved (Like I'm Gonna Lov,1975,0,241,241
Jessi,F,You Ain't Never Been Loved (Like I'm Gonna Love You),1975,0,241,241
Stevie,F,As,1978,0,234,234
Carly,F,Anticipation,1972,5,1385,230
Carly,F,Legend In Your Own Time,1972,5,1385,230
Carly,F,You're So Vain,1972,5,1385,230
Memphis,M,It's Alright,1998,0,226,226
Tesla,F,Little Suzi,1987,0,220,220
Divine,F,Lately,1999,0,201,201
Divine,F,One More Try,1999,0,201,201
Santana,F,One Chain (Don't Make No Prison),1979,0,188,188
Santana,F,Stormy,1979,0,188,188
Santana,F,You Know That I Love You,1979,0,188,188
Divine,F,Lately,1998,0,184,184
Santana,F,Hold On,1982,5,1063,176.33333333333334
Santana,F,Nowhere To Run,1982,5,1063,176.33333333333334
Carly,F,Anticipation,1971,5,1057,175.33333333333334
Carly,F,That's The Way I've Always Heard It Should Be,1971,5,1057,175.33333333333334
Samantha,M,Touch Me (I Want Your Body),1986,0,166,166
