gender,lead,era,mean_correlation,median_correlation,sd_correlation,n
F,1,Pre1990,0.9446301198801198,0.9532411067193676,0.044767962757959474,80
F,1,Post1990,0.9361934456224034,0.9477696216826651,0.03338765944613492,22
F,2,Pre1990,0.8784785617700377,0.9004093732354601,0.08652209851923727,80
F,2,Post1990,0.8538687890383946,0.8603190287972896,0.05852867526926075,22
F,3,Pre1990,0.814416330657497,0.8414031620553359,0.1249224511145422,80
F,3,Post1990,0.7620205954424435,0.7590344438170524,0.09569265894590016,22
M,1,Pre1990,0.9798286333231985,0.9861705685618729,0.019768033921655177,80
M,1,Post1990,0.9478708445704492,0.9493979933110368,0.03267320634398232,22
M,2,Pre1990,0.9543611768666116,0.9647826086956521,0.039225295953484784,80
M,2,Post1990,0.876492317750899,0.8863636363636365,0.0859165027775475,22
M,3,Pre1990,0.9265707879077444,0.9431818181818182,0.0589083549993769,80
M,3,Post1990,0.8086159884079585,0.8379446640316206,0.12548973211579734,22
