first_name,gender,title,release_year,pre_release,post_release,impact_ratio
Zaria,F,The Parent 'Hood,1995,0,1876,1876
Whitley,F,A Different World,1987,0,1859,1859
Zander,M,Starship Troopers,1997,0,778,778
Candy,F,One Foot in Heaven,1941,0,526,526
Justice,F,The Pelican Brief,1993,24,7746,308.88
Kim,M,Show Boat,1936,0,194,194
Larry,F,Five Came Back,1939,0,192,192
Kaneesha,F,Lean On Me,1989,0,183,183
Honor,M,The Dark Knight,2008,0,182,182
Jax,M,Mortal Kombat: Annihilation,1997,0,163,163
Lisa,M,The Seventh Seal,1957,0,161,161
Stone,M,Dances with Wolves,1990,0,150,150
Chance,M,Sweet Bird of Youth,1962,0,125,125
Vanity,F,The Smurfs,1981,0,122,122
Bear,M,Semi-Pro,2008,0,121,121
Linda,M,Shall We Dance,1937,0,121,121
La,F,Weekend,1967,0,120,120
Hermione,F,Harry Potter and the Chamber of Secrets,2002,0,118,118
Scarlett,F,Gone with the Wind,1939,0,118,118
Beautiful,F,The Matrix Reloaded,2003,0,117,117
Ethan,F,Space Cowboys,2000,0,117,117
Memphis,F,Happy Feet,2006,0,112,112
Susan,M,Citizen Kane,1941,0,110,110
Girl,F,Switch,1991,0,108,108
Solara,F,The Book of Eli,2010,0,107,107
Girl,F,Lethal Weapon,1987,0,104,104
Bane,M,Justice League: Doom,2012,0,102,102
Reese,F,Urban Legend,1998,27,2137,75.35714285714286
Lyric,F,Jason's Lyric,1994,22,1668,71.56521739130434
Hunter,F,The Freshman,1990,28,2029,69
Lisa,M,The Nun's Story,1959,5,290,47.5
Rick,M,Casablanca,1942,67,2970,42.69117647058823
Elliott,F,A Mighty Wind,2003,5,231,37.666666666666664
Suellen,F,Gone with the Wind,1939,11,457,37.166666666666664
Hayden,F,Quigley Down Under,1990,10,383,33.90909090909091
Meadow,F,The Sopranos,1999,35,1066,28.63888888888889
Matthew,F,Doctor Dolittle,1967,6,201,27.857142857142858
Mason,F,Devil in a Blue Dress,1995,15,450,27.1875
Melanie,F,Gone with the Wind,1939,57,1376,22.74137931034483
Lise,F,An American in Paris,1951,12,297,21.923076923076923
Elliot,F,Warm Springs,2005,25,546,20.03846153846154
Elliott,F,Warm Springs,2005,23,470,18.625
Crew,M,The Animatrix,2003,26,492,17.25925925925926
Adilyn,F,True Blood,2008,26,473,16.555555555555557
Glinda,F,The Wizard of Oz,1939,5,103,16.333333333333332
Lyra,F,The Golden Compass,2007,51,884,16.01923076923077
Drew,F,Caddyshack,1980,6,107,14.428571428571429
Kris,M,Miracle on 34th Street,1947,34,496,13.2
Tami,F,Early Summer,1951,16,233,12.764705882352942
Ronny,M,Jimmy the Gent,1934,27,383,12.714285714285714
Scott,F,Victim,1961,10,136,11.454545454545455
Harper,M,Capote,2005,96,1200,11.381443298969073
Harlem,M,The Incredible Hulk,2008,25,307,10.846153846153847
Alex,F,Gremlins,1984,56,673,10.824561403508772
Ayah,F,The Secret Garden,1993,12,147,10.384615384615385
Edie,F,On the Waterfront,1954,13,156,10.214285714285714
Harper,M,Dirty War,2004,90,901,8.912087912087912
Chase,F,New Nightmare,1994,65,653,8.909090909090908
Jessica,M,Logan's Run,1976,32,324,8.848484848484848
Alex,F,The Falcon and the Snowman,1985,87,829,8.431818181818182
Joey,M,In Which We Serve,1942,46,432,8.212765957446809
Male,M,Moscow on the Hudson,1984,15,141,7.875
Honor,F,The Dark Knight,2008,58,514,7.728813559322034
Le,F,My American Uncle,1980,15,138,7.6875
Hudson,F,Cloverfield,2008,13,117,7.428571428571429
Hudson,F,The Wrestler,2008,13,117,7.428571428571429
Neela,F,The Fast and the Furious: Tokyo Drift,2006,21,181,7.2727272727272725
