year,name,gender,count,rank,previous_count,count_change,growth_rate,rank_change,decade
1947,Linda,F,99680,1,52708,46972,89.11740153297411,1,1940
1935,Shirley,F,42357,2,22834,19523,85.49969343960761,2,1930
1983,Ashley,F,33292,4,14848,18444,124.21875,13,1980
1946,Robert,M,84130,2,69926,14204,20.312902210908675,0,1940
1946,John,M,79248,3,66123,13125,19.849371625606825,0,1940
1946,James,M,87425,1,74450,12975,17.4278038952317,0,1940
1951,Deborah,F,42043,4,29071,12972,44.62178803618727,3,1950
1915,Mary,F,58187,1,45344,12843,28.323482709950596,0,1910
1946,Richard,M,58859,5,46045,12814,27.829297426430667,0,1940
1970,Jennifer,F,46160,1,33705,12455,36.952974336151904,2,1970
1979,Amanda,F,31926,3,20520,11406,55.58479532163743,3,1970
1947,David,M,57797,6,46435,11362,24.468612038333156,0,1940
1946,Michael,M,41178,7,29912,11266,37.663813853971654,2,1940
1946,Linda,F,52708,2,41465,11243,27.114433859881824,0,1940
1912,John,M,24587,1,13445,11142,82.87095574563035,0,1910
1989,Brittany,F,37786,3,26815,10971,40.9136677232892,3,1980
1966,Michelle,F,27152,4,16215,10937,67.44989207523898,13,1960
1951,Debra,F,17061,18,6180,10881,176.06796116504856,41,1950
1970,Jason,M,27296,13,16504,10792,65.39020843431895,12,1970
1971,Jennifer,F,56786,1,46160,10626,23.019930675909876,0,1970
1942,James,M,77173,1,66719,10454,15.668700070444702,0,1940
1946,Patricia,F,46295,3,35841,10454,29.167712954437658,1,1940
1978,Nicholas,M,16357,25,6076,10281,169.20671494404215,26,1970
1957,Cindy,F,20257,19,9987,10270,102.83368378892561,18,1950
1953,Debra,F,36853,7,26835,10018,37.33184274268679,2,1950
1963,Lisa,F,56039,1,46083,9956,21.604496235054143,0,1960
1950,Deborah,F,29071,7,19205,9866,51.37203853163239,8,1950
1946,William,M,60031,4,50209,9822,19.562229879105338,0,1940
1952,Debra,F,26835,9,17061,9774,57.288552839810094,9,1950
1915,John,M,47577,1,37948,9629,25.374196268578054,0,1910
1959,Donna,F,36462,5,26944,9518,35.325118764845605,5,1950
1980,Justin,M,26752,13,17400,9352,53.74712643678161,9,1980
1969,Jason,M,16504,25,7157,9347,130.59941316193937,22,1960
1946,David,M,46435,6,37093,9342,25.185344943789932,0,1940
1947,Michael,M,50495,7,41178,9317,22.626159599786295,0,1940
1973,Jason,M,46689,3,37448,9241,24.676885280922882,4,1970
1947,John,M,88318,3,79248,9070,11.445083787603473,0,1940
1946,Susan,F,28268,8,19223,9045,47.053009415803984,2,1940
1912,William,M,19625,2,10593,9032,85.26385348815255,0,1910
1954,Debra,F,45878,6,36853,9025,24.489186769055436,1,1950
1982,Christopher,M,59225,2,50229,8996,17.909972326743514,0,1980
1961,Lisa,F,42695,2,33705,8990,26.672600504376202,4,1960
1915,William,M,38563,2,29756,8807,29.59739212259712,0,1910
1914,Mary,F,45344,1,36641,8703,23.752081002156057,0,1910
1914,John,M,37948,1,29329,8619,29.38729585052337,0,1910
1968,Jennifer,F,26850,4,18238,8612,47.22008992214059,6,1960
1981,Jessica,F,42526,2,33920,8606,25.371462264150946,1,1980
1934,Shirley,F,22834,4,14316,8518,59.499860296172116,5,1930
1942,John,M,66021,3,57511,8510,14.797169237189406,0,1940
1951,Patricia,F,56422,3,47945,8477,17.680675774324747,0,1950
