name,gender,total_years,peak_year,peak_count,decade
Auda,F,1,1910,5,1910
Clister,F,1,1910,5,1910
Hilja,F,1,1910,5,1910
Lexie,M,1,1910,6,1910
Printes,M,1,1910,5,1910
Zennie,M,1,1910,5,1910
Alberdia,F,1,1911,5,1910
Ozite,F,1,1911,5,1910
Smithie,F,1,1911,9,1910
Vardaman,M,1,1911,6,1910
Agnew,M,1,1912,5,1910
Ledia,F,1,1912,5,1910
Monie,F,1,1912,5,1910
Myrene,F,1,1912,5,1910
Ramirez,M,1,1912,6,1910
Sennie,F,1,1912,6,1910
Senona,F,1,1912,6,1910
Swen,M,1,1912,5,1910
Forney,M,1,1913,5,1910
Giovannina,F,1,1913,5,1910
Luvinia,F,1,1913,5,1910
Mazzie,F,1,1913,5,1910
Ramoncita,F,1,1913,6,1910
Thelmon,M,1,1913,5,1910
Udell,F,1,1913,5,1910
Alderic,M,1,1914,6,1910
Aldor,M,1,1914,5,1910
Arkie,F,1,1914,6,1910
Bartolomeo,M,1,1914,6,1910
Berthe,F,1,1914,6,1910
Clemson,M,1,1914,7,1910
Cloda,F,1,1914,5,1910
Dellie,F,1,1914,5,1910
Earle,F,1,1914,5,1910
Ermine,F,1,1914,5,1910
Faber,M,1,1914,5,1910
Flournoy,M,1,1914,8,1910
Fozie,F,1,1914,5,1910
Gertrudes,F,1,1914,5,1910
Glida,F,1,1914,5,1910
Knute,M,1,1914,5,1910
Loomis,M,1,1914,5,1910
Mamye,F,1,1914,5,1910
Moir,M,1,1914,6,1910
Moultrie,M,1,1914,6,1910
Nolie,M,1,1914,7,1910
Nondas,F,1,1914,5,1910
Orvilla,F,1,1914,5,1910
Pretto,F,1,1914,5,1910
Selma,M,1,1914,6,1910
Shozo,M,1,1914,5,1910
Varner,M,1,1914,6,1910
Viney,F,1,1914,6,1910
Wood,M,1,1914,5,1910
Alexina,F,1,1915,5,1910
Alleyne,F,1,1915,6,1910
Anniebell,F,1,1915,5,1910
Artha,F,1,1915,5,1910
Aster,M,1,1915,5,1910
Avis,M,1,1915,5,1910
Benigna,F,1,1915,5,1910
Birt,M,1,1915,5,1910
