year,gender,lead,correlation
1910,F,1,0.9881422924901185
1910,M,1,0.9721739130434781
1910,F,2,0.959486166007905
1910,M,2,0.8938452851496329
1910,F,3,0.9435347261434217
1910,M,3,0.8983625070581591
1911,F,1,0.9746153846153847
1911,M,1,0.9466403162055336
1911,F,2,0.9330434782608694
1911,M,2,0.9476284584980238
1911,F,3,0.9139130434782609
1911,M,3,0.9219367588932805
1912,F,1,0.9817391304347826
1912,M,1,0.994782608695652
1912,F,2,0.9669565217391304
1912,M,2,0.9808695652173911
1912,F,3,0.9258893280632412
1912,M,3,0.9739130434782608
1913,F,1,0.9892307692307694
1913,M,1,0.9853846153846154
1913,F,2,0.9686956521739128
1913,M,2,0.9652173913043477
1913,F,3,0.9599999999999999
1913,M,3,0.9660869565217389
1914,F,1,0.9799999999999999
1914,M,1,0.9808695652173911
1914,F,2,0.9686956521739128
1914,M,2,0.9843478260869564
1914,F,3,0.9664031620553359
1914,M,3,0.977391304347826
1915,F,1,0.9930769230769231
1915,M,1,0.9976923076923077
1915,F,2,0.9921739130434781
1915,M,2,0.997391304347826
1915,F,3,0.9792490118577075
1915,M,3,0.9817391304347826
1916,F,1,0.9956521739130433
1916,M,1,0.9965217391304347
1916,F,2,0.9822134387351779
1916,M,2,0.9826086956521738
1916,F,3,0.9841897233201581
1916,M,3,0.9772727272727273
1917,F,1,0.9704347826086955
1917,M,1,0.9884615384615385
1917,F,2,0.9565217391304348
1917,M,2,0.9812252964426876
1917,F,3,0.9288537549407113
1917,M,3,0.96386222473179
1918,F,1,0.9730434782608693
1918,M,1,0.9960474308300395
1918,F,2,0.9209486166007906
1918,M,2,0.9887069452286842
1918,F,3,0.8705533596837945
1918,M,3,0.9604743083003952
1919,F,1,0.9752964426877471
1919,M,1,0.9901185770750989
1919,F,2,0.9446640316205533
1919,M,2,0.96386222473179
1919,F,3,0.9071146245059288
1919,M,3,0.9559570863918689
1920,F,1,0.9539130434782608
1920,M,1,0.9895652173913042
1920,F,2,0.9391304347826086
1920,M,2,0.983478260869565
1920,F,3,0.933794466403162
1920,M,3,0.9686956521739128
1921,F,1,0.9800000000000001
1921,M,1,0.997391304347826
1921,F,2,0.9713043478260869
1921,M,2,0.9904347826086954
1921,F,3,0.9456521739130435
1921,M,3,0.9817391304347826
1922,F,1,0.9965217391304347
1922,M,1,0.9961538461538463
1922,F,2,0.9802371541501976
1922,M,2,0.9915384615384616
1922,F,3,0.9467532467532468
1922,M,3,0.986923076923077
1923,F,1,0.9881422924901185
1923,M,1,0.9953846153846154
1923,F,2,0.961038961038961
1923,M,2,0.9907692307692307
1923,F,3,0.9443609022556392
1923,M,3,0.9807692307692308
1924,F,1,0.9762845849802371
1924,M,1,0.9953846153846154
1924,F,2,0.9525691699604741
1924,M,2,0.9884615384615385
1924,F,3,0.8904573687182382
1924,M,3,0.9715384615384616
1925,F,1,0.9644268774703558
1925,M,1,0.9938461538461539
1925,F,2,0.8705533596837945
1925,M,2,0.9807692307692308
1925,F,3,0.812987012987013
1925,M,3,0.9686956521739128
1926,F,1,0.9507692307692308
1926,M,1,0.9915384615384616
1926,F,2,0.8646245059288538
1926,M,2,0.9808695652173911
1926,F,3,0.7443609022556391
1926,M,3,0.9654150197628458
1927,F,1,0.9525691699604744
1927,M,1,0.9939130434782608
1927,F,2,0.887218045112782
1927,M,2,0.9822134387351779
1927,F,3,0.787719298245614
1927,M,3,0.9678260869565216
1928,F,1,0.9525691699604741
1928,M,1,0.9939130434782608
1928,F,2,0.9090909090909091
1928,M,2,0.9826086956521738
1928,F,3,0.8935064935064935
1928,M,3,0.9626086956521738
1929,F,1,0.9565217391304348
1929,M,1,0.9886956521739129
1929,F,2,0.9017504234895538
1929,M,2,0.9643478260869565
1929,F,3,0.8531902879728965
1929,M,3,0.9565217391304348
1930,F,1,0.9486956521739128
1930,M,1,0.9892307692307694
1930,F,2,0.8765217391304347
1930,M,2,0.9822134387351779
1930,F,3,0.8418972332015809
1930,M,3,0.9822134387351779
1931,F,1,0.9707692307692308
1931,M,1,0.9970355731225297
1931,F,2,0.9345002823263692
1931,M,2,0.9970355731225297
1931,F,3,0.9285714285714286
1931,M,3,0.9909090909090909
1932,F,1,0.9909655561829473
1932,M,1,0.99
1932,F,2,0.9701298701298702
1932,M,2,0.9812252964426876
1932,F,3,0.9157894736842106
1932,M,3,0.9785431959345001
1933,F,1,0.9582608695652172
1933,M,1,0.9950592885375494
1933,F,2,0.9031620553359684
1933,M,2,0.9875776397515528
1933,F,3,0.8467532467532468
1933,M,3,0.9701298701298702
1934,F,1,0.9782608695652172
1934,M,1,0.9895652173913042
1934,F,2,0.937888198757764
1934,M,2,0.9664031620553359
1934,F,3,0.8114059853190287
1934,M,3,0.9436758893280632
1935,F,1,0.9861660079051384
1935,M,1,0.9817391304347826
1935,F,2,0.908102766798419
1935,M,2,0.9643478260869565
1935,F,3,0.842857142857143
1935,M,3,0.9446640316205533
1936,F,1,0.943478260869565
1936,M,1,0.956923076923077
1936,F,2,0.8328627893845284
1936,M,2,0.9575098814229249
1936,F,3,0.8541353383458646
1936,M,3,0.9333709768492375
1937,F,1,0.9308300395256918
1937,M,1,0.9980237154150197
1937,F,2,0.8948051948051948
1937,M,2,0.9864483342744211
1937,F,3,0.8842105263157894
1937,M,3,0.9714285714285714
1938,F,1,0.9713438735177865
1938,M,1,0.9852173913043477
1938,F,2,0.9096555618294747
1938,M,2,0.9654150197628458
1938,F,3,0.8210526315789474
1938,M,3,0.9377470355731224
1939,F,1,0.9113043478260869
1939,M,1,0.9904347826086954
1939,F,2,0.8294748729531337
1939,M,2,0.9782608695652174
1939,F,3,0.7220779220779221
1939,M,3,0.958215697346132
1940,F,1,0.9496047430830039
1940,M,1,0.9913043478260869
1940,F,2,0.9006211180124222
1940,M,2,0.9693675889328064
1940,F,3,0.8207792207792208
1940,M,3,0.9397233201581028
1941,F,1,0.9683794466403163
1941,M,1,0.9852173913043477
1941,F,2,0.9164313946922642
1941,M,2,0.9652173913043477
1941,F,3,0.8883116883116884
1941,M,3,0.9452173913043477
1942,F,1,0.9721739130434781
1942,M,1,0.9904347826086954
1942,F,2,0.9209486166007906
1942,M,2,0.977391304347826
1942,F,3,0.8814229249011858
1942,M,3,0.9617391304347825
1943,F,1,0.9765217391304347
1943,M,1,0.9946153846153847
1943,F,2,0.9476284584980238
1943,M,2,0.9846153846153847
1943,F,3,0.8656126482213439
1943,M,3,0.9678260869565216
1944,F,1,0.9886956521739129
1944,M,1,0.9946153846153847
1944,F,2,0.933794466403162
1944,M,2,0.9765217391304347
1944,F,3,0.8385093167701861
1944,M,3,0.9752964426877471
1945,F,1,0.9555335968379446
1945,M,1,0.9869565217391303
1945,F,2,0.8690005646527386
1945,M,2,0.9871541501976284
1945,F,3,0.8294748729531337
1945,M,3,0.9802371541501976
1946,F,1,0.963478260869565
1946,M,1,0.9939130434782608
1946,F,2,0.9001976284584979
1946,M,2,0.9869565217391303
1946,F,3,0.8409090909090908
