term,estimate,std.error,statistic,p.value,conf.low,conf.high,rank
gradeD,5.318095242527009,0.019723825151762037,84.72571568982335,0,5.116908730938648,5.528233754882919,1
gradeE,6.75692358928837,0.02278415730857959,83.85509590071324,0,6.462247958462145,7.065976194231221,2
gradeF,8.979887010380262,0.029558846290392925,74.25821963103323,0,8.474822002782041,9.51596172964542,3
gradeC,3.667322126204984,0.018386845193544755,70.67344703063993,0,3.537904077054092,3.802320733130136,4
gradeG,10.437910647725081,0.04798758329876757,48.876069009249186,0,9.50221885799285,11.469057811522234,5
gradeB,2.230053777894196,0.018566024097450503,43.198570497331524,0,2.1505872540698703,2.3129425136353476,6
home_ownership_grpRENT,1.5102951673923595,0.009577050955766529,43.051364007840746,0,1.4822139818405302,1.538916165597557,7
term_label60 months,1.5114809013094426,0.010353729594195473,39.897690567619165,0,1.4811080176459008,1.5424568277009414,8
dti_clean,1.0142605143556136,4.919663236024117e-4,28.78203040021492,3.6006119880035864e-182,1.0132830452558281,1.0152390294454876,9
verification_statusVerified,1.2951458617635245,0.011957088336997362,21.629289345877474,9.523904377882344e-104,1.2651552416473497,1.3258662369832332,10
verification_statusSource Verified,1.2176393102741259,0.011143396523130311,17.67091319447691,7.025043614971658e-70,1.191348754849333,1.2445420509198428,11
home_ownership_grpOWN,1.2226304766647684,0.014106667181971176,14.248912479252361,4.5531659195020686e-46,1.1892494823841633,1.2568644233469832,12
log1p(annual_inc),0.9222255283932681,0.00908633980205813,-8.910681231292426,5.071994835237068e-19,0.9059423198940358,0.9387916413703807,13
emp_length_num,0.9967478800844272,0.0011903063286484142,-2.736622894709993,0.006207340458742494,0.9944255398878856,0.9990763018263424,14
age_proxy,0.9993927278528906,6.412750682661875e-4,-0.9472637275076525,0.3435044091390534,0.9981363640053215,1.000648601816395,15
home_ownership_grpOTHER,1.3178768651077934,0.3038093275781942,0.9085369707146419,0.36359459000690125,0.7030629252901778,2.3321993324133348,16
